"Kjøpsdato";"Posteringsdato";"Beskrivelse";"Beløp"
"2021-07-09";"2021-07-12";"SPAR BORG, Boestad, NOR";"-90,70"
"2021-07-08";"2021-07-12";"BUNNPRIS, Ramberg, NOR";"-201,50"
"2021-07-08";"2021-07-12";"SPAR STOR?YA, Svolvaer, NOR";"-99,80"
"2021-07-07";"2021-07-09";"KIWI 155 OSAN S, Svolvaer, NOR";"-51,70"
"2021-07-06";"2021-07-08";"KIWI 155 OSAN S, Svolvaer, NOR";"-35,70"
"2021-07-06";"2021-07-07";"SNARKJOP DIGERMULEN, DIGERMULEN, NOR";"-72,80"
"2021-07-05";"2021-07-07";"BUNNPRIS, Ramberg, NOR";"-64,30"
"2021-07-05";"2021-07-05";"3411 41 73349";"-4900,00"
"2021-07-05";"2021-07-05";"Omkostninger regningsbetaling";"-74,00"
"2021-07-05";"2021-07-05";"Nordlandssykehuset HF";"-267,00"
"2021-07-05";"2021-07-05";"Omkostninger regningsbetaling";"-27,67"
"2021-07-05";"2021-07-05";"Nordlandssykehuset HF";"-375,00"
"2021-07-05";"2021-07-05";"Omkostninger regningsbetaling";"-28,75"
"2021-07-04";"2021-07-06";"BUNNPRIS, Ramberg, NOR";"-287,12"
"2021-07-02";"2021-07-05";"BUNNPRIS GRAVDA, GRAVDAL, NOR";"-112,13"
"2021-07-01";"2021-07-05";"INTERSPORT LEKN, LEKNES, NOR";"-493,00"
"2021-07-01";"2021-07-05";"SPAR BORG, Boestad, NOR";"-114,70"
"2021-07-01";"2021-07-01";"Omkostninger Penger tilbake";"-10,00"
"2021-06-30";"2021-07-01";"GIMSOY LANDHANDEL LOFO, GIMSOYSAND, NOR";"-94,80"
"2021-06-29";"2021-07-01";"SPAR BORG, Boestad, NOR";"-117,60"
"2021-06-28";"2021-06-30";"REMA LEKNES_NY, Leknes, NOR";"-66,60"
"2021-06-27";"2021-06-28";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-750,00"
"2021-06-27";"2021-06-28";"APPLE.COM/BILL, 80056952, IRL";"169,00"
"2021-06-28";"2021-06-28";"Rabatt strømmetjenester";"-33,80"
"2021-06-26";"2021-06-28";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-500,00"
"2021-06-26";"2021-06-28";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-1250,00"
"2021-06-26";"2021-06-28";"BUNNPRIS, Ramberg, NOR";"-402,38"
"2021-06-25";"2021-06-28";"2571 COOP PRIX STAMSUN, STAMSUND, NOR";"-57,30"
"2021-06-25";"2021-06-28";"APPLE.COM/BILL, 80056952, IRL";"-169,00"
"2021-06-28";"2021-06-28";"Rabatt strømmetjenester";"33,80"
"2021-06-24";"2021-06-28";"BUNNPRIS, Ramberg, NOR";"-124,00"
"2021-06-24";"2021-06-28";"KIWI 155 OSAN S, Svolvaer, NOR";"-142,80"
"2021-06-23";"2021-06-25";"KIWI 155 OSAN S, Svolvaer, NOR";"-87,40"
"2021-06-22";"2021-06-23";"CIRCLE K SVOLVER, SVOLVER, NOR";"-108,00"
"2021-06-21";"2021-06-22";"CIRCLE K SVOLVER, SVOLVER, NOR";"-93,00"
"2021-06-20";"2021-06-21";"PlaystationNetwork, London, GBR";"-105,00"
"2021-06-18";"2021-06-21";"REMA LEKNES_NY, Leknes, NOR";"-106,20"
"2021-06-18";"2021-06-21";"REMA LEKNES_NY, Leknes, NOR";"-82,20"
"2021-06-17";"2021-06-18";"CIRCLE K SVOLVER, SVOLVER, NOR";"-35,00"
"2021-06-15";"2021-06-15";"Innbetaling";"5548,76"
"2021-06-15";"2021-06-16";"Innbetaling";"7085,89"
"2021-06-14";"2021-06-16";"SPAR BORG, Boestad, NOR";"-98,60"
"2021-06-09";"2021-06-10";"CIRCEL K REINE, REINE, NOR";"-65,00"
"2021-06-08";"2021-06-10";"BUNNPRIS GRAVDA, GRAVDAL, NOR";"-113,60"
"2021-06-08";"2021-06-10";"BUNNPRIS, Ramberg, NOR";"-43,90"
"2021-06-08";"2021-06-08";"3411 41 73349";"-4960,78"
"2021-06-08";"2021-06-08";"Omkostninger regningsbetaling";"-74,61"
"2021-06-07";"2021-06-09";"SPAR BORG, Boestad, NOR";"-115,70"
"2021-06-06";"2021-06-08";"POINT (5015009), Bodoe, NOR";"-38,00"
"2021-06-05";"2021-06-07";"Ryde Technology AS, Oslo, NOR";"-41,00"
"2021-06-05";"2021-06-07";"Vipps*Bjoern Tore Warl, Oslo, NOR";"-350,00"
"2021-06-04";"2021-06-04";"Ryde Technology AS, Oslo, NOR";"-41,00"
"2021-06-04";"2021-06-04";"Ryde Technology AS, Oslo, NOR";"-40,00"
"2021-06-04";"2021-06-04";"Ryde Technology AS, Oslo, NOR";"-1,00"
"2021-06-03";"2021-06-04";"MATKROKEN BLEKENBERG 8, BERGEN, NOR";"-35,90"
"2021-06-02";"2021-06-03";"CIRCLE K VIKEN, BERGEN, NOR";"-140,00"
"2021-06-02";"2021-06-03";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-492,80"
"2021-06-01";"2021-06-03";"KIWI 858 BIRKEV, Bergen, NOR";"-289,00"
"2021-06-01";"2021-06-02";"JULA BERGEN LAG, RADAL, NOR";"-179,00"
"2021-06-01";"2021-06-02";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-06-01";"2021-06-01";"Omkostninger Penger tilbake";"-10,00"
"2021-05-31";"2021-06-01";"SIBKAFE HIBKRON, BERGEN, NOR";"-78,20"
"2021-05-29";"2021-05-31";"KIWI 858 BIRKEV, Bergen, NOR";"-325,00"
"2021-05-28";"2021-05-31";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-98,10"
"2021-05-28";"2021-05-31";"SIBKAFE HIBKRON, BERGEN, NOR";"-82,75"
"2021-05-27";"2021-05-28";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-84,90"
"2021-05-27";"2021-05-28";"SIBKAFE HIBKRON, BERGEN, NOR";"-111,35"
"2021-05-26";"2021-05-28";"KIWI 858 BIRKEV, Bergen, NOR";"-219,30"
"2021-05-25";"2021-05-27";"KIWI 858 BIRKEV, Bergen, NOR";"-101,90"
"2021-05-25";"2021-05-27";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-05-22";"2021-05-25";"KIWI 858 BIRKEV, Bergen, NOR";"-259,79"
"2021-05-22";"2021-05-25";"Wideroes 7012128993025, Bodo, NOR";"-599,00"
"2021-05-22";"2021-05-25";"Wideroes 7014560389066, Bodo, NOR";"-299,00"
"2021-05-20";"2021-05-21";"SIBKAFE HIBKRON, BERGEN, NOR";"-91,80"
"2021-05-19";"2021-05-21";"KIWI 858 BIRKEV, Bergen, NOR";"-447,20"
"2021-05-15";"2021-05-18";"KIWI 858 BIRKEV, Bergen, NOR";"-422,60"
"2021-05-15";"2021-05-18";"Vipps*Georg Kvalsund T, Oslo, NOR";"-600,00"
"2021-05-15";"2021-05-18";"DRESSMANN 199, Bergen, NOR";"-1503,60"
"2021-05-12";"2021-05-14";"Innbetaling";"9842,50"
"2021-05-03";"2021-05-04";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-114,30"
"2021-05-03";"2021-05-04";"APOTEK 1 LANDAS, 5081 BERGEN, NOR";"-35,37"
"2021-04-30";"2021-05-03";"KIWI 858 BIRKEV, Bergen, NOR";"-636,40"
"2021-04-30";"2021-05-03";"SIBKAFE HIBKRON, BERGEN, NOR";"-72,55"
"2021-04-29";"2021-04-30";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-349,30"
"2021-04-28";"2021-04-29";"SIBKAFE HIBKRON, BERGEN, NOR";"-98,90"
"2021-04-28";"2021-04-30";"KIWI 858 BIRKEV, Bergen, NOR";"-284,80"
"2021-04-28";"2021-04-29";"APPLE.COM/BILL, 80056952, IRL";"-169,00"
"2021-04-29";"2021-04-29";"Rabatt strømmetjenester";"33,80"
"2021-04-26";"2021-04-28";"KIWI 858 BIRKEV, Bergen, NOR";"-376,90"
"2021-04-26";"2021-04-27";"SIBKAFE HIBKRON, BERGEN, NOR";"-53,00"
"2021-04-25";"2021-04-26";"PlaystationNetwork, London, GBR";"-220,00"
"2021-04-24";"2021-04-26";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-62,80"
"2021-04-23";"2021-04-26";"SIBKAFE HIBKRON, BERGEN, NOR";"-64,60"
"2021-04-23";"2021-04-26";"COINBASE PMC7DHANZ, LONDON, GBR";"-4098,59"
"2021-04-22";"2021-04-26";"KIWI 858 BIRKEV, Bergen, NOR";"-247,42"
"2021-04-22";"2021-04-23";"SIBKAFE HIBKRON, BERGEN, NOR";"-83,60"
"2021-04-21";"2021-04-22";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-324,34"
"2021-04-21";"2021-04-22";"SIBKAFE HIBKRON, BERGEN, NOR";"-112,20"
"2021-04-20";"2021-04-22";"KIWI 858 BIRKEV, Bergen, NOR";"-608,90"
"2021-04-20";"2021-04-21";"SIBKAFE HIBKRON, BERGEN, NOR";"-71,70"
"2021-04-19";"2021-04-20";"STAMINA TRENING, OSLO, NOR";"-399,00"
"2021-04-17";"2021-04-19";"KIWI 858 BIRKEV, Bergen, NOR";"-315,10"
"2021-04-16";"2021-04-19";"SIBKAFE HIBKRON, BERGEN, NOR";"-78,20"
"2021-04-15";"2021-04-19";"KIWI 858 BIRKEV, Bergen, NOR";"-281,28"
"2021-04-15";"2021-04-16";"1454 EXTRA DANMARKSPLA, BERGEN, NOR";"-209,90"
"2021-04-15";"2021-04-15";"Innbetaling";"6867,92"
"2021-04-14";"2021-04-16";"KIWI 858 BIRKEV, Bergen, NOR";"-166,82"
"2021-04-01";"2021-04-06";"ESSO LEKNES, LEKNES, NOR";"-198,00"
"2021-03-31";"2021-04-06";"Wideroes 7012128874059, Bodo, NOR";"-293,00"
"2021-03-27";"2021-03-30";"REMA LEKNES_NY, Leknes, NOR";"-21,90"
"2021-03-21";"2021-03-22";"Holy Cow, BERGEN, NOR";"-293,70"
"2021-03-20";"2021-03-22";"Vipps*Skyss Mobillett, Oslo, NOR";"-140,00"
"2021-03-20";"2021-03-22";"STAMINA TRENING, OSLO, NOR";"-399,00"
"2021-03-19";"2021-03-22";"SIBKAFE HIBKRON, BERGEN, NOR";"-101,70"
"2021-03-19";"2021-03-22";"AKADEMIKA HVL, BERGEN, NOR";"-145,00"
"2021-03-18";"2021-03-22";"KIWI 858 BIRKEV, Bergen, NOR";"-541,37"
"2021-03-16";"2021-03-18";"KIWI 858 BIRKEV, Bergen, NOR";"-287,93"
"2021-03-13";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-252,00"
"2021-03-13";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-145,00"
"2021-03-13";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-154,00"
"2021-03-13";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-86,00"
"2021-03-13";"2021-03-15";"SUNNM?RSBADET., Fosnavaag, NOR";"-100,00"
"2021-03-13";"2021-03-15";"SUNNM?RSBADET., Fosnavaag, NOR";"-90,00"
"2021-03-12";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-154,00"
"2021-03-12";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-154,00"
"2021-03-12";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-141,00"
"2021-03-12";"2021-03-15";"Vipps*Fugl Foeniks-Mat, Oslo, NOR";"-152,00"
"2021-03-12";"2021-03-15";"BUNNPRIS @RSTA, Orsta, NOR";"-291,39"
"2021-03-12";"2021-03-15";"VINMONOPOLET ORSTA, ORSTA, NOR";"-612,70"
"2021-03-11";"2021-03-12";"7ELEVEN 7155 FLESLAND, BERGEN, NOR";"-70,00"
"2021-03-11";"2021-03-12";"Vipps*Skyss Mobillett, Oslo, NOR";"-39,00"
"2021-03-11";"2021-03-12";"SIBKAFE HIBKRON, BERGEN, NOR";"-85,30"
"2021-03-10";"2021-03-11";"SIBKAFE HIBKRON, BERGEN, NOR";"-71,70"
"2021-03-09";"2021-03-11";"KIWI 858 BIRKEV, Bergen, NOR";"-270,86"
"2021-03-09";"2021-03-10";"SIBKAFE HIBKRON, BERGEN, NOR";"-88,40"
"2021-03-08";"2021-03-08";"Vipps*Skyss Mobillett, Oslo, NOR";"-39,00"
"2021-03-06";"2021-03-08";"KIWI 858 BIRKEV, Bergen, NOR";"-269,30"
"2021-03-06";"2021-03-08";"Wideroes 7012128821870, Bodo, NOR";"-1397,00"
"2021-03-05";"2021-03-08";"KIWI 858 BIRKEV, Bergen, NOR";"-206,77"
"2021-03-04";"2021-03-05";"SIBKAFE HIBKRON, BERGEN, NOR";"-81,90"
"2021-02-24";"2021-02-25";"Vipps*Skyss Mobillett, Oslo, NOR";"-140,00"
"2021-02-23";"2021-02-23";"Innbetaling";"6000,78"
"2021-02-20";"2021-02-22";"PlaystationNetwork, London, GBR";"-186,00"
"2021-02-17";"2021-02-18";"STAMINA TRENING, OSLO, NOR";"-399,00"
"2021-02-16";"2021-02-17";"PlaystationNetwork, London, GBR";"-79,00"
"2021-02-15";"2021-02-15";"Innbetaling";"2331,00"
"2021-02-13";"2021-02-15";"KIWI 858 BIRKEV, Bergen, NOR";"-673,24"
"2021-02-08";"2021-02-10";"KIWI 858 BIRKEV, Bergen, NOR";"-199,33"
"2021-02-06";"2021-02-08";"PEPPES PIZZA, LODDEFJORD, NOR";"-679,00"
"2021-02-06";"2021-02-09";"TRAFIKKSKOLESEN, Bergen, NOR";"-1050,00"
"2021-02-04";"2021-02-08";"KIWI 858 BIRKEV, Bergen, NOR";"-573,08"
"2021-02-04";"2021-02-04";"Vipps*Iskanten, Oslo, NOR";"-1200,00"
"2021-02-02";"2021-02-03";"Foodora Norway, Oslo, NOR";"-284,00"
"2021-02-01";"2021-02-03";"KIWI 858 BIRKEV, Bergen, NOR";"-524,13"
"2021-01-25";"2021-01-26";"STAMINA TRENING, OSLO, NOR";"-399,00"
"2021-01-23";"2021-01-25";"STAMINA TRENING, OSLO, NOR";"-366,00"
"2021-01-23";"2021-01-25";"GYMGROSSISTENINTERNET, SVETSARVEGEN, SWE";"-1566,00"
"2021-01-15";"2021-01-15";"Innbetaling";"876,00"
"2021-01-15";"2021-01-15";"Innbetaling";"3178,00"
"2021-01-12";"2021-01-13";"Vipps*Bjoern Tore Warl, Oslo, NOR";"-1300,00"
"2021-01-12";"2021-01-13";"Wideroes 7012128713607, Bodo, NOR";"-1398,00"
"2021-01-10";"2021-01-11";"Vipps*Skyss Mobillett, Oslo, NOR";"-480,00"
"2020-12-15";"2020-12-15";"Innbetaling";"1955,38"
"2020-12-09";"2020-12-11";"Vipps  *PEDAL trenings, RAMBERG, NOR";"-499,00"
"2020-12-08";"2020-12-09";"DHL Express Norway A, Oslo, NOR";"-377,00"
"2020-11-26";"2020-11-27";"LEDGER* LEDGER, PARIS, FRA";"-719,40"
"2020-11-22";"2020-11-23";"PlaystationNetwork, London, GBR";"-979,00"
"2020-11-15";"2020-11-16";"Innbetaling";"1100,00"
"2020-11-09";"2020-11-10";"SMS BETALING AS, Husoeysund, NOR";"-300,00"
"2020-11-01";"2020-11-03";"Vipps  *Skyss Mobillet, BERGEN, NOR";"-480,00"
"2020-10-15";"2020-10-15";"Innbetaling";"1143,00"
"2020-10-06";"2020-10-07";"AMZN MKTP US AMZN.COM/, AMZN.COM/BILL, USA";"3,02"
"2020-10-06";"2020-10-07";"PLAYSTATIONNETWORK, LONDON, GBR";"-580,00"
"2020-09-09";"2020-09-11";"Wideroes 7014560339467, Bodo, NOR";"-195,00"
"2020-09-09";"2020-09-11";"Wideroes 7012128449215, Bodo, NOR";"-1398,00"
"2020-09-07";"2020-09-09";"E24 DINE PENGER, OSLO, NOR";"-1,00"
"2020-09-07";"2020-09-09";"E24 DINE PENGER, OSLO, NOR";"-1,00"
"2020-08-28";"2020-08-31";"Innbetaling";"3000,21"
"2020-08-18";"2020-08-20";"Vipps  *Skyss Mobillet, BERGEN, NOR";"-480,00"
"2020-08-18";"2020-08-19";"AKADEMIKA HVL, BERGEN, NOR";"-249,50"
"2020-08-18";"2020-08-20";"Wideroes 7014560335302, Bodo, NOR";"-195,00"
"2020-08-18";"2020-08-20";"Wideroes 7012128398944, Bodo, NOR";"-1349,00"
"2020-08-16";"2020-08-17";"Innbetaling";"9500,00"
"2020-08-16";"2020-08-17";"APPLE.COM/BILL, 80056952, IRL";"-159,00"
"2020-08-17";"2020-08-17";"Rabatt strømmetjenester";"31,80"
"2020-08-15";"2020-08-17";"Vipps  *Ordr AS, STAVANGER, NOR";"-290,00"
"2020-08-14";"2020-08-17";"VINMONOPOLET BERGEN SL, BERGEN, NOR";"-1560,50"
"2020-08-10";"2020-08-12";"Vipps  *Skyss Mobillet, BERGEN, NOR";"-150,00"
"2020-07-27";"2020-07-29";"BUNNPRIS, Ramberg, NOR";"-151,50"
"2020-07-26";"2020-07-28";"BUNNPRIS, Ramberg, NOR";"-401,45"
"2020-07-26";"2020-07-28";"Vipps  *Lofoten Beach, BALLSTAD, NOR";"-40,00"
"2020-07-16";"2020-07-20";"APPLE.COM/BILL, CORK, IRL";"-159,00"
"2020-07-13";"2020-07-14";"CIRCLE K SVOLVER, SVOLVER, NOR";"-70,00"
"2020-07-12";"2020-07-13";"ETORO, INTERNET, CYP";"-2916,34"
"2020-07-10";"2020-07-13";"257100 PRIX STAMSUND, STAMSUND, NOR";"-80,70"
"2020-07-09";"2020-07-10";"CIRCLE K SVOLVER, SVOLVER, NOR";"-15,00"
"2020-07-08";"2020-07-09";"SPAR BORG, Boestad, NOR";"-49,90"
"2020-07-08";"2020-07-10";"KIWI 155 OSAN S, Svolvaer, NOR";"-137,90"
"2020-07-06";"2020-07-08";"BUNNPRIS, Ramberg, NOR";"-151,70"
"2020-07-06";"2020-07-08";"KIWI 155 OSAN S, Svolvaer, NOR";"-75,60"
"2020-07-05";"2020-07-07";"Vipps, Oslo, NOR";"-500,00"
"2020-07-05";"2020-07-06";"LEKNES STORKIOS, Leknes, NOR";"-36,00"
"2020-07-05";"2020-07-06";"LEKNES STORKIOS, Leknes, NOR";"-59,00"
"2020-07-05";"2020-07-06";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-700,00"
"2020-07-05";"2020-07-06";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-120,00"
"2020-07-05";"2020-07-06";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-140,00"
"2020-07-04";"2020-07-06";"Vipps, Oslo, NOR";"-300,00"
"2020-07-04";"2020-07-06";"BUNNPRIS GRAVDA, GRAVDAL, NOR";"-200,20"
"2020-07-02";"2020-07-06";"SPAR STORØYA, Svolvaer, NOR";"-219,72"
"2020-07-02";"2020-07-03";"CIRCLE K SVOLVER, SVOLVER, NOR";"-100,00"
"2020-07-02";"2020-07-03";"Innbetaling";"170,16"
"2020-07-01";"2020-07-03";"PEPPES AVD. 349, LEKNES, NOR";"-147,00"
"2020-07-01";"2020-07-03";"CIRCEL K REINE, REINE, NOR";"-49,00"
"2020-06-30";"2020-07-03";"Vipps  *Teoritentamen, Oslo, NOR";"-448,00"
"2020-06-30";"2020-07-03";"Vipps  *Teoritentamen, Oslo, NOR";"-379,00"
"2020-06-29";"2020-07-01";"BUNNPRIS, Ramberg, NOR";"-163,60"
"2020-06-29";"2020-07-01";"JOKER BALLSTAD, Ballstad, NOR";"-19,90"
"2020-06-29";"2020-06-30";"SPAR BORG, Boestad, NOR";"-69,80"
"2020-06-27";"2020-06-29";"BUNNPRIS, Ramberg, NOR";"-71,80"
"2020-06-26";"2020-06-29";"SPAR STORØYA, Svolvaer, NOR";"-164,96"
"2020-06-25";"2020-06-26";"CIRCLE K SVOLVER, SVOLVER, NOR";"-33,00"
"2020-06-25";"2020-06-26";"CIRCLE K SVOLVER, SVOLVER, NOR";"-112,00"
"2020-06-22";"2020-06-24";"KIWI 155 OSAN S, Svolvaer, NOR";"-80,10"
"2020-06-22";"2020-06-23";"Innbetaling";"8000,55"
"2020-06-21";"2020-06-23";"Vipps, Oslo, NOR";"-200,00"
"2020-06-21";"2020-06-22";"LEKNES STORKIOS, Leknes, NOR";"-258,00"
"2020-06-21";"2020-06-22";"LEKNES STORKIOS, Leknes, NOR";"-165,00"
"2020-06-21";"2020-06-22";"LOFOTEN MAT OG VIN, STAMSUND, NOR";"-135,00"
"2020-06-19";"2020-06-22";"ELKJØP LEKNES, Leknes, NOR";"-597,00"
"2020-06-18";"2020-06-22";"BUNNPRIS, Ramberg, NOR";"-166,70"
"2020-06-18";"2020-06-19";"CIRCLE K SVOLVER, SVOLVER, NOR";"-15,00"
"2020-06-17";"2020-06-19";"KIWI 155 OSAN S, Svolvaer, NOR";"-184,70"
"2020-06-17";"2020-06-18";"CIRCLE K SVOLVER, SVOLVER, NOR";"-15,00"
"2020-06-16";"2020-06-17";"APPLE.COM/BILL, 80056952, IRL";"-159,00"
"2020-06-17";"2020-06-17";"Rabatt strømmetjenester";"31,80"
"2020-06-13";"2020-06-15";"Vipps  *Lofoten Beach, BALLSTAD, NOR";"-40,00"
"2020-06-13";"2020-06-15";"JOKER BALLSTAD, Ballstad, NOR";"-51,90"
"2020-06-13";"2020-06-15";"VINMONOPOLET LEKNES, LEKNES, NOR";"-891,50"
"2020-06-13";"2020-06-15";"Innbetaling";"659,90"
"2020-06-12";"2020-06-15";"BUNNPRIS, Ramberg, NOR";"-949,44"
"2020-06-12";"2020-06-15";"SPAR BORG, Boestad, NOR";"-75,80"
"2020-06-11";"2020-06-12";"SPAR BORG, Boestad, NOR";"-23,00"
"2020-06-11";"2020-06-15";"REMA SVOLVÆR, Svolvaer, NOR";"-161,50"
"2020-06-10";"2020-06-11";"SPAR BORG, Boestad, NOR";"-139,48"
"2020-06-09";"2020-06-11";"REMA SVOLVÆR, Svolvaer, NOR";"-121,85"
"2020-06-08";"2020-06-10";"BUNNPRIS, Ramberg, NOR";"-89,29"
"2020-06-05";"2020-06-08";"TRADINGVIEW TRADINGVIE, 6142853455, USA";"-1707,09"
"2020-06-05";"2020-06-09";"STEAMGAMES.COM, SEATTLE, DEU";"-140,00"
"2020-06-05";"2020-06-08";"KIWI 184 SVOLVÆ, Svolvaer, NOR";"-81,20"
"2020-06-05";"2020-06-08";"CLAS OHL 2812, SVOLVAR, NOR";"-239,70"
"2020-06-04";"2020-06-05";"PIZZABAKEREN LE, BODO, NOR";"-288,00"
"2020-06-04";"2020-06-05";"CIRCLE K SVOLVER, SVOLVER, NOR";"-71,00"
"2020-06-03";"2020-06-05";"REMA SVOLVÆR, Svolvaer, NOR";"-153,70"
"2020-06-02";"2020-06-04";"BUNNPRIS, Ramberg, NOR";"-367,50"
"2020-05-29";"2020-05-29";"Renter";"-11,25"
"2020-05-27";"2020-05-28";"Privatistweb.no, Steinkjer, NOR";"2302,00"
"2020-05-25";"2020-05-27";"BUNNPRIS, Ramberg, NOR";"-282,50"
"2020-05-23";"2020-05-26";"BUNNPRIS, Ramberg, NOR";"-119,10"
"2020-05-22";"2020-05-25";"REMA LEKNES, Leknes, NOR";"-201,40"
"2020-05-17";"2020-05-19";"APPLE.COM/BILL, 80056952, IRL";"-159,00"
"2020-05-19";"2020-05-19";"Rabatt strømmetjenester";"31,80"
"2020-05-15";"2020-05-15";"Innbetaling";"6600,15"
"2020-05-14";"2020-05-18";"BUNNPRIS, Ramberg, NOR";"-103,45"
"2020-05-10";"2020-05-11";"PAYPAL *MARIUSAOLSE, 35314369001, LUX";"-329,00"
"2020-05-09";"2020-05-11";"STEAMGAMES.COM 4259522, Hamburg, DEU";"-199,00"
"2020-05-06";"2020-05-07";"PlaystationNetwork, London, GBR";"-10,00"
"2020-05-03";"2020-05-04";"PlaystationNetwork, London, GBR";"-48,00"
"2020-05-02";"2020-05-04";"PlaystationNetwork, London, GBR";"-48,00"
"2020-04-29";"2020-04-30";"ETORO, INTERNET, CYP";"-2657,36"
"2020-04-23";"2020-04-24";"ETORO, INTERNET, CYP";"-2197,72"
"2020-04-23";"2020-04-24";"ETORO, INTERNET, CYP";"-2197,72"
"2020-04-21";"2020-04-23";"BUNNPRIS, Ramberg, NOR";"-66,40"
"2020-04-16";"2020-04-17";"ASK UNDERVISNING, TROMS, NOR";"-900,00"
"2020-04-16";"2020-04-17";"APPLE.COM/BILL, 80056952, IRL";"-159,00"
"2020-04-17";"2020-04-17";"Rabatt strømmetjenester";"31,80"
"2020-04-15";"2020-04-16";"Spotify P0F5A0AE89, Stockholm, SWE";"-109,00"
"2020-04-16";"2020-04-16";"Rabatt strømmetjenester";"21,80"
"2020-04-12";"2020-04-14";"PlaystationNetwork, London, GBR";"-144,00"
"2020-03-31";"2020-04-02";"Vipps  *Tightsno, Oslo, NOR";"-846,00"
"2020-03-31";"2020-04-01";"Innbetaling";"1000,00"
"2020-03-29";"2020-03-30";"REMA LEKNES, Leknes, NOR";"-94,10"
"2020-03-16";"2020-03-17";"APPLE.COM/BILL, 80056952, IRL";"-159,00"
"2020-03-17";"2020-03-17";"Rabatt strømmetjenester";"31,80"
"2020-03-15";"2020-03-16";"Spotify P0EF5C2970, Stockholm, SWE";"-109,00"
"2020-03-16";"2020-03-16";"Rabatt strømmetjenester";"21,80"
"2020-03-04";"2020-03-05";"247300 EXTRA LEKNES, LEKNES, NOR";"-45,05"
"2020-03-03";"2020-03-04";"Innbetaling";"3500,91"
"2020-03-02";"2020-03-03";"COOP PRIX LEKNES 58613, LEKNES, NOR";"-135,00"
"2020-02-26";"2020-02-27";"TROMSO TAXI AS, TROMSO, NOR";"-217,00"
"2020-02-25";"2020-02-26";"259600 PRIX STRANDKANT, TROMSO, NOR";"-193,20"
"2020-02-25";"2020-02-26";"TROMSO TAXI AS, TROMSO, NOR";"-220,00"
"2020-02-25";"2020-02-26";"TROMSO TAXI AS, TROMSO, NOR";"-239,00"
"2020-02-25";"2020-02-27";"Vipps, Oslo, NOR";"-800,00"
"2020-02-24";"2020-02-25";"iZ *Skin Fuel Empi, TROMSO, NOR";"-1500,00"
"2020-02-23";"2020-02-24";"Joker Storgatbakken, Tromsoe, NOR";"-90,30"
"2020-02-23";"2020-02-24";"Heidis Tromsoe, Tromsoe, NOR";"-100,00"
"2020-02-22";"2020-02-24";"ESPOS, DRAMMEN, NOR";"-267,00"
"2020-02-22";"2020-02-24";"ESPOS, DRAMMEN, NOR";"-195,00"
"2020-02-22";"2020-02-24";"ESPOS, DRAMMEN, NOR";"-60,00"
"2020-02-22";"2020-02-24";"TROMSO TAXI AS, TROMSO, NOR";"-300,00"
"2020-02-22";"2020-02-24";"Joker Storgatbakken, Tromsoe, NOR";"-42,90"
"2020-02-22";"2020-02-24";"BK TROMSO 5009, TROMSOE, NOR";"-76,00"
"2020-02-22";"2020-02-24";"Vipps, Oslo, NOR";"-2000,00"
"2020-02-22";"2020-02-24";"Innbetaling";"10000,77"
"2020-02-21";"2020-02-24";"ESPOS, DRAMMEN, NOR";"-225,00"
"2020-02-21";"2020-02-24";"ESPOS, DRAMMEN, NOR";"-89,00"
"2020-02-21";"2020-02-24";"ESPOS, DRAMMEN, NOR";"-60,00"
"2020-02-21";"2020-02-24";"Kiwi 167 Fredrik Lange, Tromsoe, NOR";"-220,10"
"2020-02-21";"2020-02-24";"Joker Storgatbakken, Tromsoe, NOR";"-243,41"
"2020-02-21";"2020-02-24";"816104 DNA, TROMSO, NOR";"-838,00"
"2020-02-20";"2020-02-24";"Grand Solutions North, Tromsoe, NOR";"-400,00"
"2020-02-20";"2020-02-21";"259600 PRIX STRANDKANT, TROMSO, NOR";"-458,80"
